Name,Born,Status,Died,Age
Salvador Dali,5/11/1904,dead,1/23/1989,-84
Kelly Freas,8/27/1922,dead,1/2/2005,-82
Peter Max,10/19/1937,alive,,73
Mel Ramos,7/27/1935,alive,,75
Andy Warhol,4/6/1928,dead,2/22/1987,-58
Scott Carpenter,5/1/1925,alive,,85
Gordon Cooper,3/6/1927,dead,10/4/2004,-77
John Glenn,7/18/1921,alive,,89
Virgil 'Gus' Grissom,4/3/1926,dead,1/27/1967,-40
Wally Schirra,3/12/1923,dead,5/3/2007,-84
Alan Shepard,11/18/1923,dead,7/21/1998,-74
Deke Slayton,3/1/1924,dead,6/13/1993,-69
,,,,
,,,,
Name,Born,Status,Died,Age
Neil Armstrong,8/5/1930,alive,,80
Edwin 'Buzz' Aldrin,1/20/1930,alive,,80
Charles 'Pete' Conrad,6/2/1930,dead,7/8/1999,-69
Alan Bean,3/15/1932,alive,,78
Alan Shepard,11/18/1923,dead,7/21/1998,-74
Edgar Mitchell,9/17/1930,alive,,80
David Scott,6/6/1932,alive,,78
James Irwin,3/17/1930,dead,8/8/1991,-61
John Young,9/24/1930,alive,,80
Charles Duke,10/3/1935,alive,,75
Gene Cernan,3/14/1934,alive,,76
Harrison Schmidtt,7/3/1935,alive,,75
,,,,
,,,,
Name,Born,Status,Died,Age
Bill Anders,10/17/1933,alive,,77
Frank Borman,3/14/1928,alive,,82
Michael Collins,10/31/1930,alive,,79
Walter Cunningham,3/16/1932,alive,,78
Donn Eisele,6/23/1930,dead,12/2/1987,-57
Ronald Evans,11/10/1933,dead,4/6/1990,-56
Richard Gordon,10/5/1929,alive,,81
Fred Haise,11/14/1933,alive,,76
Alexei Leonov,5/30/1934,alive,,76
Jim Lovell,3/25/1928,alive,,82
Thomas Mattingly,3/17/1936,alive,,74
Jim McDivitt,6/10/1929,alive,,81
Sally Ride,5/26/1951,alive,,59
Stuart Roosa,8/16/1933,dead,12/12/1994,-61
Russell Schweickart,10/25/1935,alive,,74
Thomas Stafford,9/17/1930,alive,,80
John Swigert,8/30/1932,dead,12/27/1982,-50
Alfred Worden,12/7/1932,alive,,77
,,,,
,,,,
Name,Born,Status,Died,Age
F. Lee Bailey,6/10/1933,alive,,77
Johnnie Cochran,10/2/1937,dead,3/29/2005,-67
Alan Dershowitz,9/1/1938,alive,,72
Richard 'Racehorse' Haynes,4/3/1927,alive,,83
,,,,
,,,,
Name,Born,Status,Died,Age
Roone Arledge,7/8/1931,dead,12/5/2002,-71
Michael Eisner,3/7/1942,alive,,68
Rupert Murdoch,3/11/1931,alive,,79
Fred Silverman,9/13/1937,alive,,73
Brandon Tartikoff,1/13/1949,dead,8/27/1997,-48
Grant Tinker,1/11/1926,alive,,84
Ted Turner,11/19/1938,alive,,71
,,,,
,,,,
Name,Born,Status,Died,Age
Mary Kay Ash,5/12/1918,dead,11/22/2001,-83
Warren Buffett,8/30/1930,alive,,80
John DeLorean,1/6/1925,dead,3/19/2005,-80
Max Factor Jr.,8/18/1904,dead,6/7/1996,-91
Joseph Peter Grace,5/25/1913,dead,4/19/1995,-81
Armand Hammer,5/21/1898,dead,12/10/1990,-92
Lee Iacocca,10/15/1924,alive,,86
Herb Kelleher,3/12/1931,alive,,79
Victor Kiam,12/7/1927,dead,5/27/2001,-73
Ray Kroc,10/5/1902,dead,1/14/1984,-81
Estée Lauder,7/1/1908,dead,4/24/2004,-95
Ken Lay,4/15/1942,dead,7/5/2006,-64
T. Boone Pickens,5/22/1928,alive,,82
Ron Popeil,5/3/1935,alive,,75
