Salvador Dali,5/11/1904,1/23/1989
Kelly Freas,8/27/1922,1/2/2005
Peter Max,10/19/1937,
Mel Ramos,7/27/1935,
Andy Warhol,4/6/1928,2/22/1987
Scott Carpenter,5/1/1925,
Gordon Cooper,3/6/1927,10/4/2004
John Glenn,7/18/1921,
Virgil 'Gus' Grissom,4/3/1926,1/27/1967
Wally Schirra,3/12/1923,5/3/2007
Alan Shepard,11/18/1923,7/21/1998
Deke Slayton,3/1/1924,6/13/1993
Name,Born,Died
Neil Armstrong,8/5/1930,
Edwin 'Buzz' Aldrin,1/20/1930,
Charles 'Pete' Conrad,6/2/1930,7/8/1999
Alan Bean,3/15/1932,
Alan Shepard,11/18/1923,7/21/1998
Edgar Mitchell,9/17/1930,
David Scott,6/6/1932,
James Irwin,3/17/1930,8/8/1991
John Young,9/24/1930,
Charles Duke,10/3/1935,
Gene Cernan,3/14/1934,
Harrison Schmidtt,7/3/1935,
Bill Anders,10/17/1933,
Frank Borman,3/14/1928,
Michael Collins,10/31/1930,
Walter Cunningham,3/16/1932,
Donn Eisele,6/23/1930,12/2/1987
Ronald Evans,11/10/1933,4/6/1990
Richard Gordon,10/5/1929,
Fred Haise,11/14/1933,
Alexei Leonov,5/30/1934,
Jim Lovell,3/25/1928,
Thomas Mattingly,3/17/1936,
Jim McDivitt,6/10/1929,
Sally Ride,5/26/1951,
Stuart Roosa,8/16/1933,12/12/1994
Russell Schweickart,10/25/1935,
Thomas Stafford,9/17/1930,
John Swigert,8/30/1932,12/27/1982
Alfred Worden,12/7/1932,
F. Lee Bailey,6/10/1933,
Johnnie Cochran,10/2/1937,3/29/2005
Alan Dershowitz,9/1/1938,
Richard 'Racehorse' Haynes,4/3/1927,
Roone Arledge,7/8/1931,12/5/2002
Michael Eisner,3/7/1942,
Rupert Murdoch,3/11/1931,
Fred Silverman,9/13/1937,
Brandon Tartikoff,1/13/1949,8/27/1997
Grant Tinker,1/11/1926,
Ted Turner,11/19/1938,
Mary Kay Ash,5/12/1918,11/22/2001
Warren Buffett,8/30/1930,
John DeLorean,1/6/1925,3/19/2005
Max Factor Jr.,8/18/1904,6/7/1996
Joseph Peter Grace,5/25/1913,4/19/1995
Armand Hammer,5/21/1898,12/10/1990
Lee Iacocca,10/15/1924,
Herb Kelleher,3/12/1931,
Victor Kiam,12/7/1927,5/27/2001
Ray Kroc,10/5/1902,1/14/1984
Estée Lauder,7/1/1908,4/24/2004
Ken Lay,4/15/1942,7/5/2006
T. Boone Pickens,5/22/1928,
Ron Popeil,5/3/1935,
Orville Redenbacher,7/16/1907,9/19/1995
David Rockefeller,6/12/1915,
Earl Scheib,2/28/1908,2/29/1992
Dave Thomas,7/2/1932,1/8/2002
Donald Trump,6/14/1946,
Sam Walton,3/29/1918,4/5/1992
Neal Adams,6/12/1941,
Will Eisner,3/6/1917,1/3/2005
Jules Feiffer,1/26/1929,
Bob Kane,10/25/1915,11/3/1998
Jack Kirby,8/28/1917,2/6/1994
Frank Miller,1/27/1957,
Dennis O'Neil,5/3/1939,
Julius Schwartz,6/19/1915,2/8/2004
Joe Shuster,7/10/1914,7/30/1992
Jerry Siegel,10/17/1914,1/30/1996
Sergio Aragones,1937,
Dave Berg,6/12/1920,5/16/2002
Mort Drucker,3/29/1929,
Al Jaffee,3/13/1921,
Harvey Kurtzman,10/3/1924,2/21/1993
Don Martin,5/18/1931,1/6/2000
Antonio Prohias,1/17/1921,2/24/1998
Charles Addams,1/7/1912,9/29/1988
Tom Batiuk,3/14/1947,
Jack T. Chick,4/13/1924,
Isadore 'Friz' Freleng,8/21/1906,5/26/1995
Chester Gould,11/20/1900,5/11/1985
Edward Gorey,2/25/1925,4/15/2000
Cathy Guisewite,9/5/1950,
Johnny Hart,2/8/1931,4/7/2007
Al Hirschfeld,6/21/1903,1/20/2003
Chuck Jones,9/21/1912,2/22/2002
Bil Keane,10/5/1922,
Henry 'Hank' Ketcham,3/14/1920,6/1/2001
Walter Lantz,4/27/1900,3/22/1994
Gary Larson,8/14/1950,
Stan Lee,12/28/1922,
Charles Schulz,11/26/1922,2/12/2000
Mort Walker,9/3/1923,
Jay Ward,9/21/1920,10/12/1989
Bill Watterson,7/5/1958,
Bobby Fischer,3/9/1943,1/17/2008
Anatoly Karpov,5/23/1951,
Gary Kasparov,4/13/1963,
Boris Spassky,1/30/1937,
Rona Barrett,10/8/1936,
Joyce Brothers,9/20/1928,
Jeane Dixon,1/5/1918,1/25/1997
Ann Landers,7/4/1918,6/22/2002
Abigail Van Buren,7/4/1918,
Milton Ager,10/6/1893,5/6/1979
Paul Anka,7/30/1941,
Burt Bacharach,5/12/1929,
Jeff Barry,4/3/1938,
Hal David,5/25/1921,
Lamont Dozier,6/16/1941,
Gerry Goffin,2/11/1939,
Howard Greenfield,3/15/1936,3/4/1986
Ellie Greenwich,10/23/1940,8/26/2009
Brian Holland,2/15/1941,
Eddie Holland,10/30/1939,
Carole King,2/9/1942,
Kris Kristofferson,6/22/1936,
Randy Newman,11/28/1943,
Laura Nyro,10/18/1947,4/8/1997
Bernie Taupin,5/22/1950,
Paul Williams,9/19/1940,
Jack Yellen,7/6/1892,4/17/1991
Andrae Crouch,6/1/1950,
Bill Gaither,3/28/1936,
Gloria Gaither,3/4/1942,
Dottie Rambo,3/2/1934,5/11/2008
Irving Berlin,5/11/1888,9/22/1989
Elmer Bernstein,4/4/1922,8/18/2004
Alexander Courage,12/10/1919,5/15/2008
Jerry Goldsmith,2/10/1929,7/21/2004
Marvin Hamlisch,6/2/1944,
Neal Hefti,10/29/1922,10/11/2008
Henry Mancini,4/16/1924,6/14/1994
Ennio Morricone,11/10/1928,
Mike Post,9/29/1944,
Nelson Riddle,6/1/1921,10/6/1985
Stephen Sondheim,3/22/1930,
Andrew Lloyd Webber,3/22/1948,
John Williams,2/8/1932,
Meredith Willson,5/18/1902,6/15/1984
Woody Allen,12/1/1935,
Robert Altman,2/20/1925,11/20/2006
Samuel Z. Arkoff,6/12/1918,9/16/2001
William Asher,8/8/1921,
Richard Attenborough,8/29/1923,
Albert 'Cubby' Broccoli,4/5/1909,6/27/1996
Ingmar Bergman,7/14/1918,7/30/2007
Joe Barbera,3/24/1911,12/18/2006
Mel Brooks,6/28/1926,
Tim Burton,8/25/1958,
Stephen J. Cannell,2/5/1941,9/30/2010
John Carpenter,1/16/1948,
Ethan Coen,9/21/1957,
Joel Coen,11/29/1954,
Francis Ford Coppola,4/7/1939,
Don Cornelius,9/27/1936,
Wes Craven,8/2/1939,
David Cronenberg,3/15/1943,
Fred De Cordova,10/27/1910,9/15/2001
Dino De Laurentiis,8/8/1918,
Brian De Palma,9/11/1940,
John Derek,8/12/1926,5/22/1998
William Dozier,2/13/1908,4/23/1991
Blake Edwards,7/26/1922,
Mark Goodson,1/14/1915,12/18/1992
Bill Hanna,7/14/1910,3/22/2001
Ray Harryhausen,6/29/1920,
Paul Henning,9/16/1911,3/25/2005
John Huston,8/5/1906,8/28/1987
Leonard Katzman,9/2/1927,9/5/1996
Elia Kazan,9/7/1909,9/28/2003
Marty Krofft,4/9/1937,
Sid Krofft,7/30/1929,
Stanley Kubrick,7/26/1928,3/7/1999
John Landis,8/3/1950,
Norman Lear,8/27/1922,
Sheldon Leonard,2/22/1907,1/10/1997
George Lucas,5/14/1944,
Quinn Martin,5/22/1922,6/8/1987
Russ Meyer,3/21/1922,9/18/2004
Lorne Michaels,11/17/1944,
Roman Polanski,8/18/1933,
Garry Marshall,11/13/1934,
Carl Reiner,3/20/1922,
Rob Reiner,3/6/1945,
Leni Riefenstahl,8/22/1902,9/8/2003
Hal Roach,1/14/1892,11/2/1992
Gene Roddenberry,8/19/1921,10/24/1991
George Romero,2/4/1940,
Alexander Salkind,6/2/1921,3/8/1997
Sherwood Schwartz,11/14/1916,
Martin Scorsese,11/17/1942,
Aaron Spelling,4/22/1923,6/23/2006
Steven Spielberg,12/18/1946,
Oliver Stone,9/15/1946,
Paul Verhoeven,7/18/1938,
Orson Welles,5/6/1915,10/10/1985
Billy Wilder,6/22/1906,3/27/2002
Robert Wise,9/10/1914,9/14/2005
Darryl F. Zanuck,9/5/1902,12/22/1979
Richard D. Zanuck,12/13/1934,
Giorgio Armani,7/11/1934,
Bill Blass,6/22/1922,6/11/2002
Pierre Cardin,7/6/1922,
Liz Claiborne,3/31/1929,6/26/2007
Perry Ellis,3/3/1940,5/30/1986
Halston,4/23/1932,3/26/1990
Calvin Klein,11/19/1942,
Ralph Lauren,10/14/1939,
Bob Mackie,3/24/1940,
Yves Saint Laurent,8/1/1936,6/1/2008
Gloria Vanderbilt,2/20/1924,
Gianni Versace,12/2/1946,7/15/1997
Jack Anderson,10/19/1922,12/16/2005
Carl Bernstein,2/14/1944,
David Bloom,5/22/1963,4/6/2003
Ed Bradley,6/22/1941,11/9/2006
David Brinkley,7/20/1920,6/11/2003
Tom Brokaw,2/6/1940,
Pat Buchanan,11/2/1938,
Art Buchwald,10/20/1925,1/17/2007
William F. Buckley,11/24/1925,2/27/2008
John Chancellor,7/14/1927,7/12/1996
Walter Cronkite,11/4/1916,7/17/2009
Sam Donaldson,3/11/1934,
Paul Harvey,9/4/1918,2/28/2009
John Holliman,10/23/1948,9/12/1998
Molly Ivins,8/30/1944,1/31/2007
Peter Jennings,7/29/1938,8/7/2005
Charles Kuralt,9/10/1934,7/4/1997
Jim Lehrer,5/19/1934,
Robert MacNeil,1/19/1931,
John McLaughlin,3/29/1927,
Roger Mudd,2/9/1928,
Edwin Newman,1/25/1919,8/13/2010
Robert Novak,2/26/1931,8/18/2009
Dan Rather,10/31/1931,
Harry Reasoner,4/17/1923,8/6/1991
Andy Rooney,1/14/1919,
Carl T. Rowan,8/11/1925,9/23/2000
Tim Russert,5/7/1950,6/13/2008
Morley Safer,11/8/1931,
William Safire,12/17/1929,9/27/2009
Jessica Savitch,2/2/1948,10/23/1983
Diane Sawyer,12/22/1945,
Helen Thomas,8/24/1920,
Mike Wallace,5/9/1918,
Barbara Walters,9/25/1929,
Bob Woodward,3/26/1943,
William Calley,6/8/1945,
Jeremiah Denton,7/15/1924,
Oliver North,10/7/1943,
Norman Schwarzkopf,8/22/1934,
William Westmoreland,3/26/1914,7/18/2005
Christie Brinkley,2/2/1954,
Cindy Crawford,2/20/1966,
Janice Dickinson,2/15/1955,
Kathy Ireland,3/8/1963,
Elle MacPherson,3/29/1964,
Cynthia Myers,9/12/1950,
Bettie Page,4/22/1923,12/11/2008
Paulina Porizkova,4/9/1965,
Claudia Schiffer,8/25/1970,
Anna Nicole Smith,11/28/1967,2/8/2007
Dorothy Stratten,2/28/1960,8/14/1980
Krissy Taylor,5/15/1978,7/2/1995
Niki Taylor,3/5/1975,
Cheryl Tiegs,9/25/1947,
Twiggy (Leslie Hornby),9/19/1946,
June Wilkinson,3/27/1940,
Bunny Yeager,3/13/1930,
Klaus Barbie,10/15/1913,9/25/1991
David Berkowitz,6/1/1953,
Ted Bundy,11/24/1946,1/23/1989
Mark David Chapman,5/10/1955,
Jeffrey Dahmer,5/21/1960,11/28/1994
John Wayne Gacy,3/17/1942,5/10/1994
Charles Manson,11/12/1934,
James Earl Ray,3/10/1928,4/23/1998
Richard Speck,12/6/1941,12/5/1991
Richard Avedon,5/15/1923,10/1/2004
Henri Cartier-Bresson,8/22/1908,8/4/2004
Alfred Eisenstaedt,12/6/1898,8/23/1995
Art Kane,4/9/1925,2/21/1995
Annie Leibovitz,10/2/1949,
Robert Mapplethorpe,11/4/1946,3/9/1989
Helmut Newton,10/31/1920,1/23/2004
Irving Penn,6/16/1917,10/7/2009
Leni Riefenstahl,8/22/1902,9/8/2003
Joe Rosenthal,10/9/1911,8/20/2006
Francesco Scavullo,1/16/1921,1/6/2004
Bunny Yeager,3/13/1930,
Robert Atkins,10/17/1930,4/17/2003
Christiaan Barnard,11/8/1922,9/2/2001
Denton Cooley,8/22/1920,
Michael DeBakey,9/7/1908,7/11/2008
C. Everett Koop,10/14/1916,
Walter H. Annenberg,3/13/1908,10/1/2002
Helen Gurley Brown,2/18/1922,
Al Feldstein,10/24/1925,
Larry Flynt,11/1/1942,
William M. Gaines,3/1/1922,6/3/1992
Bob Guccione,12/17/1930,10/20/2010
Hugh Hefner,4/9/1926,
Jann Wenner,1/7/1946,
Annette Dionne,5/28/1934,
Cecile Dionne,5/28/1934,
Emile Dionne,5/28/1934,8/6/1954
Marie Dionne,5/28/1934,2/27/1970
Yvonne Dionne,5/28/1934,6/23/2001
Clive Davis,4/4/1934,
Berry Gordy,11/28/1929,
George Martin,1/3/1926,
Col. Tom Parker,6/26/1909,1/21/1997
Phil Spector,12/26/1940,
Quincy Jones,3/14/1933,
Jim Bakker,1/2/1939,
Tammy Faye Bakker,3/7/1942,7/20/2007
Pope Benedict XVI,4/16/1927,
Ezra Taft Benson,8/4/1899,5/30/1994
Jerry Falwell,8/11/1933,5/15/2007
Billy Graham,11/7/1918,
Gordon Hinckley,6/23/1910,1/27/2008
Rex Humbard,8/13/1919,9/21/2007
Pope John Paul II,5/18/1920,4/2/2005
John MacArthur,6/14/1939,
John O'Connor,1/15/1920,5/3/2000
Oral Roberts,1/24/1918,12/15/2009
Robert Schuller,9/16/1926,
Charles Stanley,9/25/1932,
Jimmy Swaggart,3/15/1935,
Desmond Tutu,10/7/1931,
Jacques Cousteau,6/11/1910,6/25/1997
Francis Crick,6/8/1916,7/28/2004
Richard P. Feynman,5/11/1918,2/15/1988
Stephen Jay Gould,9/10/1941,5/20/2002
Stephen Hawking,1/8/1942,
Edward Lorenz,5/23/1917,4/16/2008
Benoit Mandelbrot,11/20/1924,10/14/2010
Linus Pauling,2/28/1901,8/19/1994
Carl Sagan,11/9/1934,12/20/1996
Jonas Salk,10/28/1914,6/23/1995
Andrei Sakharov,5/21/1921,12/14/1989
Glenn Seaborg,4/19/1912,2/25/1999
Edward Teller,1/15/1908,9/9/2003
James Van Allen,9/7/1914,8/9/2006
James Watson,4/6/1928,
Anita Bryant,3/25/1940,
Stokely Carmichael,6/29/1941,11/15/1998
Cesar Chavez,3/31/1927,4/22/1993
James Dobson,4/21/1936,
Louis Farrakhan,5/11/1933,
Betty Friedan,2/4/1921,2/4/2006
Abbie Hoffman,11/30/1936,4/12/1989
Patricia Ireland,10/19/1945,
Coretta Scott King,4/27/1927,1/30/2006
Ralph Nader,2/27/1934,
Madalyn Murray O'Hair,4/13/1919,9/29/1995
Phyllis Schlafly,8/15/1924,
Al Sharpton,10/3/1954,
Gloria Steinem,3/25/1934,
Molly Yard,7/6/1912,9/21/2005
Noam Chomsky,12/7/1928,
Milton Friedman,7/31/1912,11/16/2006
Dian Fossey,1/16/1932,12/27/1985
John Kenneth Galbraith,10/15/1908,4/29/2006
Jane Goodall,3/3/1934,
Thor Heyerdahl,10/6/1914,4/18/2002
Elisabeth Kuebler-Ross,7/8/1926,8/24/2004
Arthur Laffer,8/14/1940,
Mary Leakey,2/6/1913,12/9/1996
Claude Levi-Strauss,11/28/1908,10/30/2009
Arthur Schlesinger Jr.,10/15/1917,2/27/2007
B. F. Skinner,3/20/1904,8/18/1990
Paul Volcker,9/5/1927,
James Q. Wilson,5/27/1931,
Douglas Adams,3/11/1952,5/11/2001
Mortimer J. Adler,12/2/1902,6/28/2001
Isaac Asimov,1/2/1920,4/6/1992
Saul Bellow,7/10/1915,4/5/2005
Peter Benchley,5/8/1940,2/11/2006
Erma Bombeck,2/21/1927,4/22/1996
Ray Bradbury,8/22/1920,
Barbara Cartland,7/9/1901,5/21/2000
Arthur C. Clarke,12/16/1917,3/19/2008
Michael Crichton,10/23/1942,11/4/2008
Dominick Dunne,10/29/1925,8/26/2009
Theodore Geisel (Dr. Seuss),3/20/1904,9/24/1991
Larry Gelbart,2/25/1928,9/11/2009
Alex Haley,8/11/1921,2/10/1992
L. Ron Hubbard,3/13/1911,1/24/1986
Stephen King,9/21/1947,
Louis L'Amour,3/22/1908,6/10/1988
Ira Levin,8/27/1929,11/12/2007
Robert Ludlum,5/25/1927,3/12/2001
Norman Mailer,1/31/1923,11/9/2007
James Michener,2/3/1907,10/16/1997
Arthur Miller,10/17/1915,2/10/2005
George Plimpton,3/18/1927,9/25/2003
Mario Puzo,10/15/1920,7/2/1999
Anne Rice,10/4/1941,
J. D. Salinger,1/1/1919,1/27/2010
Salman Rushdie,6/19/1947,
Maurice Sendak,6/10/1928,
Sidney Sheldon,2/11/1917,1/30/2007
Neil Simon,7/4/1927,
Alexander Solzhenitsyn,12/11/1918,8/3/2008
Mickey Spillane,3/9/1918,7/17/2006
Benjamin Spock,5/2/1903,3/15/1998
Hunter S. Thompson,7/18/1936,2/20/2005
John Updike,3/18/1932,1/27/2009
Gore Vidal,10/3/1925,
Kurt Vonnegut Jr.,11/11/1922,4/11/2007
Eudora Welty,4/13/1909,7/23/2001
Tennessee Williams,3/26/1911,2/24/1983
Red Adair,6/18/1915,8/7/2004
Osama Bin Laden,7/30/1957,
Richard 'Mr.' Blackwell,8/29/1922,10/19/2008
Billy Carter,3/29/1937,9/25/1988
Seymour Cray,9/28/1925,10/5/1996
Elizabeth the Queen Mother,8/4/1900,3/30/2002
Minnesota Fats,1/19/1913,1/18/1996
Bob Fosse,6/23/1927,9/23/1987
Jim Fowler,4/9/1932,
R. Buckminster Fuller,7/12/1895,7/1/1983
John Gotti,10/27/1940,6/10/2002
Lew Grade,12/25/1906,12/13/1998
Knut Haugland,9/23/1917,12/25/2009
Patricia Hearst,2/20/1954,
Leona Helmsley,7/4/1920,8/20/2007
Henry Hill,6/11/1943,
Edmund Hillary,7/20/1919,1/11/2008
John Hinckley Jr.,5/29/1955,
Philip Johnson,7/8/1906,1/25/2005
Rose Kennedy,7/22/1890,1/22/1995
Jack Kevorkian,5/28/1928,
Timothy Leary,10/22/1920,5/31/1996
Anne Morrow Lindbergh,6/22/1906,2/7/2001
Maharishi Mahesh Yogi,1/12/1917,2/5/2008
Rosa Parks,2/4/1913,10/24/2005
Paul Prudhomme,7/13/1940,
Vidal Sassoon,1/17/1928,
Eunice Kennedy Shriver,7/10/1921,8/11/2009
Joel Siegel,7/7/1943,6/29/2007
Curtis Sliwa,3/26/1954,
Jimmy 'The Greek' Snyder,9/9/1919,4/21/1996
Lee Strasberg,11/17/1901,2/17/1982
Mother Teresa,8/27/1910,9/5/1997
Claus von Bulow,8/11/1926,
Sunny von Bulow,9/1/1932,12/6/2008
Ruth Westheimer,6/4/1928,
Simon Wiesenthal,12/31/1908,9/20/2005
Chuck Yeager,2/13/1923,
